,datetime,count
0,2019-09-01 07:00:00,1604
1,2019-09-01 08:00:00,516087
2,2019-09-01 09:00:00,455639
3,2019-09-01 10:00:00,375401
4,2019-09-01 11:00:00,325751
5,2019-09-01 12:00:00,301292
6,2019-09-01 13:00:00,314903
7,2019-09-01 14:00:00,291216
8,2019-09-01 15:00:00,286427
9,2019-09-01 16:00:00,296513
10,2019-09-01 17:00:00,296166
11,2019-09-01 18:00:00,292508
12,2019-09-01 19:00:00,310788
13,2019-09-01 20:00:00,340491
14,2019-09-01 21:00:00,360513
15,2019-09-01 22:00:00,341697
16,2019-09-01 23:00:00,252068
17,2019-09-02 00:00:00,162752
18,2019-09-02 01:00:00,122686
19,2019-09-02 02:00:00,111693
20,2019-09-02 03:00:00,114205
21,2019-09-02 04:00:00,121137
22,2019-09-02 05:00:00,170025
23,2019-09-02 06:00:00,317464
24,2019-09-02 07:00:00,448878
